iter	R2	RMSE
0	0.1568498062	352810.5161
1	0.2728023538	327653.8548
2	0.3446665615	311042.8437
3	0.3977542865	298178.2134
4	0.4360794657	288534.6694
5	0.4922086545	273798.8986
6	0.5230352028	265358.0169
7	0.5463961873	258778.0272
8	0.5753281206	250389.3205
9	0.5958877665	244253.0798
10	0.6040619702	241770.138
11	0.6172703741	237703.2337
12	0.6404333507	230398.0245
13	0.6547955641	225749.7268
14	0.670189202	220658.9182
15	0.6851827585	215584.8828
16	0.6927374045	212982.4884
17	0.6975608893	211304.1495
18	0.708883264	207311.1382
19	0.7151089954	205082.4126
20	0.722441781	202425.9078
21	0.7336882116	198282.4356
22	0.7394640871	196120.4348
23	0.7525495409	191131.9019
24	0.7596915696	188353.4385
25	0.7651391738	186206.2876
26	0.7694569864	184486.6872
27	0.7777578008	181134.9737
28	0.7902367212	175976.1374
29	0.7942695234	174276.3139
30	0.8026459164	170691.5838
31	0.8061249006	169180.4073
32	0.8092090011	167829.3801
33	0.8148024468	165350.9414
34	0.8175815286	164105.6205
35	0.8229450577	161675.0771
36	0.8254343444	160534.5265
37	0.830705288	158092.3102
38	0.8329582366	157036.8527
39	0.836434279	155394.3398
40	0.8384027923	154456.4239
41	0.840273799	153559.656
42	0.8436738861	151916.4543
43	0.8475008143	150045.4436
44	0.849267101	149173.9795
45	0.8508740775	148376.6704
46	0.8533224809	147153.5783
47	0.854906202	146356.9916
48	0.85948877	144027.2164
49	0.8608366434	143334.7513
50	0.8634370372	141989.2662
51	0.8675280774	139846.2964
52	0.8686913101	139230.9491
53	0.8707864093	138115.7312
54	0.8734864269	136665.0959
55	0.8745593078	136084.3773
56	0.8769447352	134784.2509
57	0.877947939	134233.7145
58	0.8799709463	133116.6074
59	0.8808983091	132601.3706
60	0.882033589	131967.8778
61	0.8837689733	130993.6027
62	0.8846461813	130498.3551
63	0.8870644566	129123.2273
64	0.8880708744	128546.6032
65	0.8898042067	127547.3845
66	0.8909811072	126864.4476
67	0.8917734039	126402.6123
68	0.8924853121	125986.1918
69	0.89545207	124235.8022
70	0.8977196302	122881.1294
71	0.8985314335	122392.5017
72	0.899250415	121958.1092
73	0.8999033023	121562.3045
74	0.9005123928	121191.8855
75	0.9017115424	120459.2929
76	0.902350311	120067.2273
77	0.9031419189	119579.5679
78	0.9037431001	119207.8855
79	0.9050045308	118424.2098
80	0.9055735777	118068.9815
81	0.9061141494	117730.5362
82	0.906935144	117214.6525
83	0.9076555947	116760.0692
84	0.90833676	116328.6402
85	0.9088580932	115997.3599
86	0.9113507412	114400.1526
87	0.9123109209	113778.9192
88	0.9128345449	113438.7025
89	0.9155790865	111638.5207
90	0.9164363994	111070.2174
91	0.9175056122	110357.347
92	0.9179718774	110045.0306
93	0.9184146328	109747.639
94	0.919519592	109001.9166
95	0.9199618324	108702.0208
96	0.920371841	108423.2415
97	0.9215556547	107614.2717
98	0.9219527113	107341.5741
99	0.9238951443	105997.4049
100	0.9250175234	105212.8875
101	0.9254140371	104934.3314
102	0.9258285087	104642.3671
103	0.9265194763	104153.8123
104	0.9268875552	103892.621
105	0.9275319113	103433.7935
106	0.9280845139	103038.6737
107	0.9284406785	102783.2051
108	0.9287750705	102542.7744
109	0.9296466615	101913.4269
110	0.9319769125	100211.4208
111	0.9327324479	99653.34051
112	0.9330761231	99398.44613
113	0.9333938195	99162.2368
114	0.9337256114	98914.94514
115	0.9348500317	98072.25331
116	0.935315011	97721.65285
117	0.9358643531	97305.81383
118	0.9372820504	96224.3476
119	0.9375848515	95991.78188
120	0.9382938414	95445.02694
121	0.9385691203	95231.89288
122	0.938835166	95025.45333
123	0.9396141746	94418.38183
124	0.9400464667	94079.812
125	0.940731794	93540.55453
126	0.9411974462	93172.37014
127	0.9414845845	92944.60713
128	0.942303151	92292.22102
129	0.9426925554	91980.24692
130	0.9429320271	91787.86591
131	0.943363322	91440.36175
132	0.9445621276	90467.44537
133	0.9449638831	90139.04274
134	0.9459850793	89298.86126
135	0.946238248	89089.34294
136	0.9464896964	88880.75951
137	0.9470276252	88432.88047
138	0.9472703293	88230.06089
139	0.9475196867	88021.19469
140	0.9480019287	87615.84771
141	0.9483296004	87339.35087
142	0.9496817855	86188.96397
143	0.9499082166	85994.82096
144	0.9502910333	85665.59137
145	0.9504958989	85488.88228
146	0.9507019226	85310.80508
147	0.9509706839	85077.94028
148	0.9517715213	84380.25451
149	0.951972997	84203.81969
150	0.9521684304	84032.32226
