iter	Passed	Remaining
0	19	15946
1	22	8982
2	24	6606
3	26	5361
4	29	4762
5	32	4332
6	38	4348
7	45	4549
8	48	4303
9	51	4068
10	52	3796
11	54	3611
12	57	3486
13	60	3402
14	64	3374
15	71	3488
16	74	3445
17	77	3385
18	80	3297
19	82	3229
20	85	3163
21	87	3103
22	94	3192
23	103	3349
24	106	3302
25	109	3270
26	112	3222
27	114	3161
28	116	3097
29	119	3066
30	122	3029
31	136	3281
32	140	3270
33	143	3225
34	146	3191
35	148	3144
36	150	3106
37	153	3077
38	158	3096
39	164	3123
40	169	3137
41	171	3103
42	174	3069
43	176	3033
44	178	2998
45	181	2973
46	183	2941
47	191	2997
48	193	2971
49	197	2955
50	199	2927
51	202	2905
52	204	2880
53	207	2864
54	216	2936
55	219	2918
56	222	2898
57	225	2879
58	228	2868
59	230	2847
60	233	2831
61	248	2960
62	251	2942
63	255	2932
64	257	2914
65	260	2898
66	262	2871
67	264	2847
68	267	2834
69	270	2822
70	273	2808
71	281	2851
72	284	2838
73	287	2818
74	291	2821
75	299	2850
76	302	2836
77	305	2827
78	313	2865
79	319	2878
80	322	2862
81	325	2846
82	326	2823
83	330	2813
84	333	2805
85	338	2811
86	342	2804
87	345	2794
88	348	2780
89	350	2762
90	352	2743
91	354	2730
92	357	2720
93	360	2703
94	365	2709
95	372	2728
96	376	2725
97	378	2714
98	381	2702
99	384	2688
100	386	2675
101	389	2664
102	394	2666
103	401	2686
104	405	2680
105	407	2668
106	409	2654
107	412	2644
108	415	2632
109	420	2638
110	428	2660
111	432	2655
112	434	2642
113	436	2628
114	439	2616
115	442	2610
116	447	2614
117	452	2613
118	454	2603
119	457	2589
120	459	2575
121	461	2562
122	464	2554
123	467	2551
124	474	2560
125	476	2549
126	478	2537
127	481	2525
128	484	2518
129	491	2531
130	495	2531
131	498	2524
132	501	2516
133	504	2507
134	506	2497
135	509	2485
136	512	2478
137	517	2482
138	522	2485
139	527	2487
140	530	2478
141	532	2466
142	534	2454
143	536	2445
144	540	2440
145	546	2446
146	549	2441
147	554	2444
148	557	2434
149	559	2425
150	562	2415
151	564	2405
152	566	2394
153	568	2384
154	570	2373
155	572	2363
156	574	2354
157	577	2345
158	579	2335
159	581	2327
160	584	2318
161	586	2309
162	588	2300
163	590	2290
164	592	2280
165	595	2272
166	597	2264
167	599	2255
168	601	2246
169	604	2238
170	606	2230
171	609	2224
172	612	2218
173	615	2214
174	618	2208
175	620	2201
176	623	2195
177	626	2187
178	629	2183
179	632	2176
180	634	2169
181	637	2164
182	639	2157
183	642	2150
184	645	2144
185	647	2136
186	649	2129
187	651	2121
188	653	2113
189	655	2105
190	657	2097
191	659	2089
192	661	2081
193	663	2073
194	665	2065
195	669	2061
196	672	2056
197	674	2050
198	676	2043
199	679	2037
200	681	2030
201	683	2024
202	686	2018
203	689	2013
204	692	2010
205	696	2008
206	698	2002
207	700	1994
208	703	1988
209	706	1984
210	709	1980
211	712	1976
212	715	1971
213	718	1966
214	720	1960
215	723	1955
216	726	1951
217	729	1946
218	733	1945
219	736	1940
220	738	1934
221	741	1930
222	743	1924
223	746	1919
224	748	1911
225	750	1904
226	752	1899
227	754	1893
228	757	1888
229	760	1884
230	762	1879
231	765	1873
232	768	1870
233	772	1867
234	775	1863
235	777	1859
236	780	1854
237	783	1850
238	787	1849
